provider,server,category,type,docs,endpoint,repo,notes,trust_score,tier,evidence_confidence,enterprise_fit,assessed_on
Microsoft,Microsoft Learn Docs MCP Server,Docs / Knowledge,Remote (hosted),https://developer.microsoft.com/blog/10-microsoft-mcp-servers-to-accelerate-your-development-workflow,https://learn.microsoft.com/api/mcp,(docs only; endpoint documented),Official Microsoft hosted MCP endpoint for Microsoft Learn docs search/retrieval.,54.0,C,1,Standard,2026-01-22
Microsoft,Azure MCP Server,Cloud / Infrastructure,Local (official) + IDE integrations,https://learn.microsoft.com/en-us/azure/developer/azure-mcp-server/,"Local server; connects via MCP client (e.g., VS Code/GitHub Copilot).",https://github.com/microsoft/mcp,Official Microsoft repo includes Azure MCP; important benchmark for auth/RBAC guidance.,59.0,C,1,Standard/Regulated (local),2026-01-22
GitHub,GitHub MCP Server,Dev / Version Control,Server (runs locally or hosted by integrators),https://github.com/github/github-mcp-server,Depends on deployment; typically STDIO/local transport,https://github.com/github/github-mcp-server,"Official GitHub MCP server; enterprise relevance for code, issues, PR automation.",70.0,B,1,Standard/Regulated,2026-01-22
Splunk,Splunk MCP Server,Observability / SecOps,Remote (marketplace/managed),https://marketplace.microsoft.com/hi-in/product/saas/splunk.splunk_mcp_server?tab=overview,Managed remote (see offer docs); supports Splunk Enterprise & Cloud,(vendor-managed; see offer + Splunk docs),Microsoft Marketplace listing; strong enterprise anchor for audit/ops use cases.,64.5,C,1,Standard/Regulated,2026-01-22
Datadog,Datadog MCP Server,Observability,Remote (preview),https://docs.datadoghq.com/bits_ai/mcp_server/,Remote MCP server (preview) per Datadog docs,(vendor-managed; docs + blog),Good for scoring auth posture + logging and guardrails patterns.,65.5,B,1,Standard (Preview),2026-01-22
PagerDuty,PagerDuty MCP Server,Incident Response,Local (official),https://support.pagerduty.com/main/docs/pagerduty-mcp-server-integration-guide,Local server (STDIO); connects to PagerDuty account,https://github.com/PagerDuty/pagerduty-mcp-server,Strong enterprise incident mgmt use case; repo includes security and license details.,59.0,C,1,Standard,2026-01-22
Notion,Notion MCP (hosted) / Notion MCP Server (official),Productivity / Knowledge,Remote hosted + local/HTTP modes,https://developers.notion.com/docs/mcp,Hosted server (per Notion docs) + HTTP transport option in official server repo,https://github.com/makenotion/notion-mcp-server,Shows both hosted and self-run patterns; includes HTTP transport with auth token options.,,,,,
Cloudflare,Cloudflare MCP Server(s),Cloud / Edge / Security,Remote managed catalog + OSS servers,https://developers.cloudflare.com/agents/model-context-protocol/mcp-servers-for-cloudflare/,Remote managed MCP servers via OAuth (catalog) + deploy-your-own guide,https://github.com/cloudflare/mcp-server-cloudflare,"Great benchmark for OAuth, managed remote, and deployment guidance.",73.5,B,1,Standard/Regulated,2026-01-22
Google,Google Official MCP Servers,Cloud / Productivity,Collection (official),https://github.com/google/mcp,Varies by server; see repo list,https://github.com/google/mcp,Official Google collection; good for cross-cloud comparisons.,56.5,C,1,Experimental→Standard (varies),2026-01-22
Celonis,Celonis MCP Server Asset (Process Intelligence),Process Intelligence / Graph,Vendor asset (enterprise),https://developer.celonis.com/mcp-server-asset/overview/,(see Celonis asset docs; depends on customer Celonis environment),(vendor docs),Direct comparator for 'graph-shaped' differentiation (PI Graph context).,65.5,B,1,Standard/Regulated,2026-01-22
modelcontextprotocol,Reference + community servers list,Directory,Directory,https://github.com/modelcontextprotocol/servers,,https://github.com/modelcontextprotocol/servers,Use as long-tail expansion source.,,,,,
habitoai,Awesome MCP Servers directory,Directory,Directory,https://github.com/habitoai/Awesome-MCP-Servers-directory,,https://github.com/habitoai/Awesome-MCP-Servers-directory,Categorized directory for discovery.,,,,,
punkpeye,awesome-mcp-servers,Directory,Directory,https://github.com/punkpeye/awesome-mcp-servers,,https://github.com/punkpeye/awesome-mcp-servers,Curated list; production vs experimental tags.,,,,,
mcpservers.org,Awesome MCP Servers (website),Directory,Directory,https://mcpservers.org/,,(site),Searchable catalog; useful for monitoring new entries.,,,,,
